latitude,longitude,weight
49.200919656159066,-123.1346327536523,7.75
49.201054198697065,-123.13539710380903,1.0
49.20108316899242,-123.1268400045936,2.125
49.201196025157735,-123.12702810627847,4.0
49.20120119760168,-123.12703288290653,7.75
49.201275160932425,-123.12682384296424,7.75
49.201317008223434,-123.13292904602564,3.25
49.201318778531984,-123.13303839737836,3.25
49.201414537256746,-123.13387132555174,3.25
49.201503498378536,-123.13525550086395,2.125
49.20171454569715,-123.1272310399834,2.125
49.20182665475661,-123.13505480077592,6.0625
49.20184742306627,-123.12579748589405,3.475
49.2018612440202,-123.13517047094095,2.875
49.20208720796758,-123.13284207063492,4.375
49.20212209320045,-123.1260636574288,7.75
49.20215130194182,-123.13485200043755,3.25
49.20217647266909,-123.13332704881933,3.25
49.202266360928874,-123.12620354338563,7.75
49.20247056887037,-123.12625276744386,1.0
49.202633459700046,-123.02298683443018,3.25
49.202662157215784,-123.12658717247476,1.0
49.202788861089516,-123.13480657368954,5.5
49.20283834888848,-123.12675796877265,1.0
49.20289153974457,-123.1285915565861,6.625
49.2029392874971,-123.1268558108438,3.25
49.202959459384495,-123.12838480659128,7.75
49.20297029289515,-123.13486577384668,2.125
49.20297349282751,-123.13487783968577,1.0
49.202988751190745,-123.12841195504534,3.25
49.2029957523873,-123.13480713606866,5.5
49.202998397143745,-123.13479699839976,2.125
49.20299839894119,-123.13479699977742,2.125
49.20300622004901,-123.12677195955551,3.25
49.203028249467756,-123.12679333518206,1.0
49.203079964530616,-123.12699214357356,4.375
49.20309578220932,-123.13533843261916,3.25
49.203107519223686,-123.12701888047746,3.25
49.203117672768386,-123.1354208992791,2.125
49.203120879838835,-123.13543296520939,2.40625
49.203121269090474,-123.13516440142571,5.5
49.20314398312894,-123.13349449263082,1.0
49.20316556314296,-123.12857582799168,3.25
49.203238640792215,-123.13479406841942,5.5
49.20324065884843,-123.12714790392778,1.0
49.20327504889264,-123.12867730290502,2.125
49.2033385807688,-123.13010912427826,2.6875
49.20336006630652,-123.13049322877403,4.5357142857142865
49.20338849923031,-123.13471438701383,1.375
49.20339028318208,-123.13483988570576,1.0
49.20341881041798,-123.13290780447105,3.25
49.20344398106912,-123.12734502306354,3.25
49.20350005810198,-123.12739938013452,1.0
